"line","mateA","mateB","genotype","RDH","n_bott","control","ploidy","petite"
"90","90",NA,"haploid","del",59,FALSE,"haploid",FALSE
"99x99","99",99,"homozygote","del",100,FALSE,"diploid",TRUE
"36x36","36",36,"homozygote","wt",100,FALSE,"diploid",FALSE
"81x81","81",81,"homozygote","wt",100,FALSE,"diploid",TRUE
"34x34","34",34,"homozygote","del",100,FALSE,"diploid",FALSE
"87x96","87",96,"heterozygote","del",100,FALSE,"diploid",TRUE
"14x46","14",46,"heterozygote","del",100,FALSE,"diploid",FALSE
"114","114",NA,"haploid","wt",87,FALSE,"haploid",FALSE
"73","73",NA,"haploid","del",100,FALSE,"haploid",TRUE
"29x135","29",135,"heterozygote","del",100,FALSE,"diploid",FALSE
"49x49","49",49,"homozygote","del",100,FALSE,"diploid",FALSE
"95x135","95",135,"heterozygote","del",0,TRUE,"diploid",TRUE
"75x75","75",75,"homozygote","wt",100,FALSE,"diploid",FALSE
"34x96","34",96,"heterozygote","del",100,FALSE,"diploid",TRUE
"63x46","63",46,"heterozygote","del",100,FALSE,"diploid",FALSE
"95","95",NA,"haploid","del",0,TRUE,"haploid",FALSE
"131x131","131",131,"homozygote","del",67,FALSE,"diploid",FALSE
"30x30","30",30,"homozygote","wt",100,FALSE,"diploid",FALSE
