Set,FACS_well,Sample,plate,OD,note,,,,,,,,,,,,,,
4,C2,8x67,1,0.075,,,,,,,,,,,,,,,
4,C3,4x134,1,0.331,,,,,,,,,,,,,,,
4,C4,12x12,1,0.344,,,,,,,,,,,,,,,
4,C5,48x95,1,0.333,,,,,,,,,,,,,,,
4,C6,95x134,1,0.333,,,,,,,,,,,,,,,
4,C7,35x35,1,0.327,,,,,,,,,,,,,,,
4,C8,130x130,1,0.228,,,,,,,,,,,,,,,
4,C9,dip-1,1,0.293,,,,,,,,,,,,,,,
4,C10,95x134,1,0.292,,,,,,,,,,,,,,,
4,C11,22x134,1,0.362,,,,,,,,,,,,,,,
4,C12,32x134,1,0.335,,,,,,,,,,,,,,,
4,D1,29x29,1,0.282,,,,,,,,,,,,,,,
4,D2,135x135,1,0.393,,,,,,,,,,,,,,,
4,D3,29x29,1,0.26,,,,,,,,,,,,,,,
4,D4,24x95,1,0.356,,,,,,,,,,,,,,,
4,D5,2x2,1,0.36,,,,,,,,,,,,,,,
4,D6,4x4,1,0.417,,,,,,,,,,,,,,,
